# Soundtracks without matched cover art (248)
# Format: region | title | NSF path
# Add or identify a cover, then use the same lowercase kebab-case filename stem.

Nintendo | Bee 52 | NES-Gamemusic/Nintendo/Camerica/Bee_52.nsf
Nintendo | Bignose Freaks Out | NES-Gamemusic/Nintendo/Camerica/Bignose_Freaks_Out.nsf
Nintendo | Bignose the Caveman | NES-Gamemusic/Nintendo/Camerica/Bignose_the_Caveman.nsf
Nintendo | Chase HQ | NES-Gamemusic/Nintendo/Taito/Chase_HQ.nsf
Nintendo | Comic Bakery | NES-Gamemusic/Nintendo/Scene_Demos/Comic_Bakery.nsf
Nintendo | Dance of the Sugarplum Faries | NES-Gamemusic/Nintendo/Scene_Demos/Dance_of_the_Sugarplum_Faries.nsf
Nintendo | Dizzy the Adventurer | NES-Gamemusic/Nintendo/Camerica/Dizzy_the_Adventurer.nsf
Nintendo | Fantastic Adventures of Dizzy | NES-Gamemusic/Nintendo/Camerica/Fantastic_Adventures_of_Dizzy.nsf
Nintendo | Firehawk | NES-Gamemusic/Nintendo/Camerica/Firehawk.nsf
Nintendo | Gianna | NES-Gamemusic/Nintendo/Scene_Demos/Gianna.nsf
Nintendo | GoldRunner Music Demo | NES-Gamemusic/Nintendo/Scene_Demos/GoldRunner_Music_Demo.nsf
Nintendo | Linus Spaceheads Cosmic Crusade | NES-Gamemusic/Nintendo/Camerica/Linus_Spaceheads_Cosmic_Crusade.nsf
Nintendo | Micro Machines | NES-Gamemusic/Nintendo/Camerica/Micro_Machines.nsf
Nintendo | Mig 29 Soviet Fighter | NES-Gamemusic/Nintendo/Camerica/Mig_29_Soviet_Fighter.nsf
Nintendo | Quattro Baseball Pros | NES-Gamemusic/Nintendo/Camerica/Quattro_Baseball_Pros.nsf
Nintendo | Quattro BMX Simulator | NES-Gamemusic/Nintendo/Camerica/Quattro_BMX_Simulator.nsf
Nintendo | Quattro Boomerang Kid | NES-Gamemusic/Nintendo/Camerica/Quattro_Boomerang_Kid.nsf
Nintendo | Quattro CJs Elephant Antics | NES-Gamemusic/Nintendo/Camerica/Quattro_CJs_Elephant_Antics.nsf
Nintendo | Quattro F15 Renegade | NES-Gamemusic/Nintendo/Camerica/Quattro_F15_Renegade.nsf
Nintendo | Quattro Go Dizzy Go | NES-Gamemusic/Nintendo/Camerica/Quattro_Go_Dizzy_Go.nsf
Nintendo | Quattro Linus Spacehead | NES-Gamemusic/Nintendo/Camerica/Quattro_Linus_Spacehead.nsf
Nintendo | Quattro Pro Tennis | NES-Gamemusic/Nintendo/Camerica/Quattro_Pro_Tennis.nsf
Nintendo | Quattro Soccer Simulator | NES-Gamemusic/Nintendo/Camerica/Quattro_Soccer_Simulator.nsf
Nintendo | Quattro Stunt Buggies | NES-Gamemusic/Nintendo/Camerica/Quattro_Stunt_Buggies.nsf
Nintendo | Quattro Super Robin Hood | NES-Gamemusic/Nintendo/Camerica/Quattro_Super_Robin_Hood.nsf
Nintendo | Quattro Treasure Island Dizzy | NES-Gamemusic/Nintendo/Camerica/Quattro_Treasure_Island_Dizzy.nsf
Nintendo | Shinobi | NES-Gamemusic/Nintendo/Tengen/Shinobi.nsf
Nintendo | Smurfs | NES-Gamemusic/Nintendo/Infogrames/Smurfs.nsf
Nintendo | Snow | NES-Gamemusic/Nintendo/Scene_Demos/Snow.nsf
Nintendo | Solar Wars | NES-Gamemusic/Nintendo/Scene_Demos/Solar_Wars.nsf
Nintendo | Stunt Kids | NES-Gamemusic/Nintendo/Camerica/Stunt_Kids.nsf
Nintendo | Ultimate Stuntman | NES-Gamemusic/Nintendo/Camerica/Ultimate_Stuntman.nsf
Nintendo | Vs Balloon Fight | NES-Gamemusic/Nintendo/Nintendo/Vs_Balloon_Fight.nsf
Nintendo | Vs Clu Clu Land | NES-Gamemusic/Nintendo/Nintendo/Vs_Clu_Clu_Land.nsf
Nintendo | Vs Excitebike | NES-Gamemusic/Nintendo/Nintendo/Vs_Excitebike.nsf
Nintendo | Vs Wrecking Crew | NES-Gamemusic/Nintendo/Nintendo/Vs_Wrecking_Crew.nsf
